ds,pp,pt,m,val,rank
adult,fairsmote,de,di-sex,0.428888184130276,1.0
adult,fairsmote,de,di-sex,0.472226618361923,1.0
adult,fairsmote,de,di-sex,0.401630825374981,1.0
adult,fairsmote,de,di-sex,0.286155638588694,1.0
adult,fairsmote,de,di-sex,0.370866053740075,1.0
adult,fairsmote,de,di-sex,0.416216156111203,1.0
adult,fairsmote,de,di-sex,0.416768715155812,1.0
adult,fairsmote,de,di-sex,0.400293703240658,1.0
adult,fairsmote,de,di-sex,0.461890369556258,1.0
adult,fairsmote,de,di-sex,0.364460028932637,1.0
adult,fairsmote,de,di-sex,0.383169383807682,1.0
adult,fairsmote,de,di-sex,0.370941558441559,1.0
adult,fairsmote,de,di-sex,0.419038139979298,1.0
adult,fairsmote,de,di-sex,0.382012589009126,1.0
adult,fairsmote,de,di-sex,0.373545597006925,1.0
adult,fairsmote,de,di-sex,0.408400702129371,1.0
adult,fairsmote,de,di-sex,0.435714796091531,1.0
adult,fairsmote,de,di-sex,0.438783394387834,1.0
adult,fairsmote,de,di-sex,0.376067502886027,1.0
adult,fairsmote,de,di-sex,0.335280629711311,1.0
adult,fairsmote,de,di-sex,0.44302785017375,1.0
adult,fairsmote,de,di-sex,1.0,1.0
adult,fairsmote,de,di-sex,0.268873141764465,1.0
adult,fairsmote,de,di-sex,0.420972179537301,1.0
adult,fairsmote,de,di-sex,0.461943476378287,1.0
adult,fairsmote,de,di-sex,0.363512156996108,1.0
adult,fairsmote,de,di-sex,0.428109655954161,1.0
adult,fairsmote,de,di-sex,0.391957052848142,1.0
adult,fairsmote,de,di-sex,0.34908311548024,1.0
adult,fairsmote,de,di-sex,0.33431031090122,1.0
adult,fairsmote,de,di-sex,0.0,1.0
adult,fairsmote,de,di-sex,0.420314599780652,1.0
adult,fairsmote,de,di-sex,0.356827974077,1.0
adult,fairsmote,de,di-sex,0.430018444833762,1.0
adult,fairsmote,de,di-sex,0.447920626598227,1.0
adult,fairsmote,de,di-sex,0.331470206656361,1.0
adult,fairsmote,de,di-sex,0.388576142589075,1.0
adult,fairsmote,de,di-sex,0.0,1.0
adult,fairsmote,de,di-sex,0.413462547126988,1.0
adult,fairsmote,de,di-sex,0.425260290603554,1.0
adult,fairsmote,de,di-sex,0.36887172886036,1.0
adult,fairsmote,de,di-sex,0.391218799142807,1.0
adult,fairsmote,de,di-sex,0.288961788213892,1.0
adult,fairsmote,de,di-sex,0.277480719503432,1.0
adult,fairsmote,de,di-sex,0.437233807478661,1.0
adult,fairsmote,de,di-sex,0.449530187021705,1.0
adult,fairsmote,de,di-sex,0.401687158377497,1.0
adult,fairsmote,de,di-sex,0.272148102305321,1.0
adult,fairsmote,de,di-sex,0.40133762877578,1.0
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
