DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,mar,sa,sd,sdar,Models built,Best params
effort/china.csv,22,none,log,none,rf,random search,"['sa', 'sd']",140.34634828567505,,2712.067576596889,0.4876537922248099,0.3697233473985874,2712.067576596889,320.0,pareto front
effort/china.csv,22,none,log,none,rf,tpe,"['sa', 'sd']",671.9242613315582,,2691.44834767642,0.49154904315285164,0.3749128422230104,2691.44834767642,1280.0,pareto front
effort/china.csv,22,none,log,none,rf,nsga-ii,"['sa', 'sd']",1004.9525756835938,,2689.312702237455,0.49195249543082875,0.379499278546374,2689.312702237455,1000.0,pareto front
effort/china.csv,22,none,log,none,rf,nsga-iii,"['sa', 'sd']",306.9873299598694,,2691.6271705585336,0.4915152610943569,0.37585243738058843,2691.6271705585336,1000.0,pareto front
effort/china.csv,22,none,log,none,rf,moead,"['sa', 'sd']",395.94864082336426,,2654.0300077862476,0.498617873114688,0.39144293330877117,2654.0300077862476,500.0,pareto front
effort/china.csv,23,none,log,none,rf,default,None,2.7395875453948975,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",2736.7240963855425,0.4813069519569009,0.48302683009630787,2736.7240963855425,,
effort/china.csv,23,none,log,none,rf,random search,"['sa', 'sd']",191.9027373790741,,2626.8554309247033,0.5021304295765762,0.4479758637279052,2626.8554309247033,320.0,pareto front
effort/china.csv,23,none,log,none,rf,tpe,"['sa', 'sd']",285.51781249046326,,2661.2387707078315,0.49561373345161175,0.4518323663939163,2661.2387707078315,1280.0,pareto front
effort/china.csv,23,none,log,none,rf,nsga-ii,"['sa', 'sd']",511.0466556549072,,2637.915493708148,0.5000342088854697,0.4768186215446474,2637.915493708148,1000.0,pareto front
effort/china.csv,23,none,log,none,rf,nsga-iii,"['sa', 'sd']",719.1197464466095,,2569.153981399708,0.513066621781758,0.4600348176038787,2569.153981399708,1000.0,pareto front
