pt,m,val,rank
moead,SD+,0.366855943741186,1.0
moead,SD+,0.366855943741186,1.0
moead,SD+,0.429050496463306,1.0
moead,SD+,0.429050496463306,1.0
moead,SD+,0.423996692823447,1.0
moead,SD+,0.423996692823447,1.0
moead,SD+,0.444853517715692,1.0
moead,SD+,0.444853517715692,1.0
moead,SD+,0.430804674063237,1.0
moead,SD+,0.430804674063237,1.0
moead,SD+,0.446456702013918,1.0
moead,SD+,0.446456702013918,1.0
moead,SD+,0.371859425792279,1.0
moead,SD+,0.371859425792279,1.0
moead,SD+,0.297418902258809,1.0
moead,SD+,0.297418902258809,1.0
moead,SD+,0.46134079800132,1.0
moead,SD+,0.46134079800132,1.0
moead,SDAR-,5778.04393968407,1.0
moead,SDAR-,5778.04393968407,1.0
moead,SDAR-,3775.12953846234,1.0
moead,SDAR-,3775.12953846234,1.0
moead,SDAR-,4201.27113021423,1.0
moead,SDAR-,4201.27113021423,1.0
moead,SDAR-,3773.04802937432,1.0
moead,SDAR-,3773.04802937432,1.0
moead,SDAR-,5020.40648110849,1.0
moead,SDAR-,5020.40648110849,1.0
moead,SDAR-,4354.19647466507,1.0
moead,SDAR-,4354.19647466507,1.0
moead,SDAR-,4230.65095379252,1.0
moead,SDAR-,4230.65095379252,1.0
moead,SDAR-,6245.46469557971,1.0
moead,SDAR-,6245.46469557971,1.0
moead,SDAR-,2816.99865877056,1.0
moead,SDAR-,2816.99865877056,1.0
moead,SDAR-,4633.03529152505,1.0
moead,SDAR-,4633.03529152505,1.0
moead,SDAR-,3098.35740504546,1.0
moead,SDAR-,3098.35740504546,1.0
moead,SDAR-,4770.31939913073,1.0
moead,SDAR-,4770.31939913073,1.0
moead,SDAR-,3237.73878939347,1.0
moead,SDAR-,3237.73878939347,1.0
moead,SDAR-,5975.19636215595,1.0
moead,SDAR-,5975.19636215595,1.0
moead,SDAR-,3611.22092673996,1.0
moead,SDAR-,3611.22092673996,1.0
moead,SDAR-,3914.94762320363,1.0
moead,SDAR-,3914.94762320363,1.0
moead,SDAR-,3150.93322089678,1.0
moead,SDAR-,3150.93322089678,1.0
moead,SDAR-,5412.86106217176,1.0
